restored,lat,lon,remoteness,cumulative_impacts_mean,cumulative_impacts_trend,baa_n,baa_mean,baa_trend,coral_diversity,year_first_anomaly,number_of_anomalies_2100
1,18.5,-78,0.06998997,2.078485707,0.024864616,0,1.361111111,0.006563707,60,2053,33
1,1.5,103.5,0.036108926,2.532525739,0.017481808,0,1.361111111,-0.007335907,548,2063,41
1,11.5,123.5,0.13450937,1.196407698,0.132559411,2,1.694444444,0.014285714,571,2064,21
1,26,-80.5,0.049757298,1.580841144,0.045815047,0,1.416666667,0.018404118,57,2044,65
1,18.5,-78,0.06998997,2.078485707,0.024864616,0,1.361111111,0.006563707,60,2053,33
1,-4,55.5,4.610229,0.478770593,0.073515074,3,1.583333333,0.021492921,302,2033,141
1,18.5,-78,0.06998997,2.078485707,0.024864616,0,1.361111111,0.006563707,60,2053,33
1,-30,153,0.25143543,1.281285023,0.076755773,6,1.888888889,0.01029601,264,2027,91
1,27,127.5,0.11053122,1.13757054,-0.018890371,6,2.055555556,0.015701416,367,2033,76
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,18.5,-78.5,0.09497554,1.306947269,0.044456973,0,1.444444444,0.006435006,60,2088,17
1,1.5,103.5,0.036108926,2.532525739,0.017481808,0,1.361111111,-0.007335907,548,2063,41
1,5,119,0.2867885,1.855960052,0.109362243,0,1.611111111,0.001287001,564,2063,43
1,1.5,103.5,0.036108926,2.532525739,0.017481808,0,1.361111111,-0.007335907,548,2063,41
1,-20.5,116.5,1.1047757,0.898657243,0.085244106,10,2.222222222,0.026254826,319,2040,240
1,12.5,-69,0.38616654,1.358266844,0.098831462,12,2.083333333,0.040540541,62,2039,17
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,26.5,-80.5,0.050284296,2.227195094,0.039336722,0,1.305555556,0.006048906,55,2044,65
1,23,69.5,0.05645495,1.797643645,0.126333941,1,1.722222222,0.022908623,80,2027,151
1,18,-65,0.41022912,1.65271302,0.081015895,4,1.833333333,0.027799228,55,2067,50
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,-18.5,146,0.118568264,0.545364421,0.034627084,5,1.777777778,0.027284427,412,2053,79
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,-19,147,0.13321508,0.734213054,0.022016713,5,1.888888889,0.004890605,410,2053,81
1,42,3.5,0.28030768,1.623823376,0.049918388,8,1.972222222,0.018918919,3,2033,85
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,14,144.5,6.748939,0.928280507,0.071005043,4,1.777777778,0.037580438,264,2041,75
1,-16.5,145.5,0.063742265,0.906613086,0.036282719,2,1.777777778,0.022908623,418,2053,67
1,-14.5,145,0.46822664,0.510110126,0.053294629,4,2,0.035778636,420,2042,90
1,-8,115,0.029916655,1.27007038,0.078240914,3,2,0.017503218,563,2063,46
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,-8,116,0.080799915,0.970313916,0.105736265,6,2.194444444,0.025096525,567,2040,58
1,2,124.5,0.10967594,0.853848336,0.101309594,0,1.75,-0.003989704,571,2081,16
1,35.5,138.5,0.017788664,2.950545672,-0.024432439,8,1.916666667,0.066023166,188,2041,118
1,10,118.5,0.0798294,1.183249762,0.083665963,1,1.5,0.017760618,569,2015,44
1,-2,121,0.330474,2.430455495,0.08595407,0,1.666666667,0.006949807,562,2077,65
1,25.5,-80.5,0.13014986,1.814475289,0.038172673,0,1.5,0.026769627,56,2048,63
1,-8.5,179,3.418318,0.801671875,0.003355329,0,1.472222222,-0.003474903,355,2072,40
1,21.5,-87,0.08128369,1.817647062,0.077275033,6,1.833333333,0.036808237,57,2084,9
1,-4,55.5,4.610229,0.478770593,0.073515074,3,1.583333333,0.021492921,302,2033,141
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,20,-156,0.80905735,0.782442156,-0.008188564,2,1,0.017503218,60,2056,114
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,19,-68.5,0.122972235,1.631362012,0.061737608,4,1.833333333,0.023680824,58,2067,71
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,21.5,-87,0.08128369,1.817647062,0.077275033,6,1.833333333,0.036808237,57,2084,9
1,19.5,-96.5,0.050201584,2.311673602,0.085681347,2,1.666666667,0.030630631,26,2042,91
1,18.5,-67,0.039697316,2.868694534,0.076922713,1,1.416666667,0.020720721,57,2067,29
1,18.5,-77,0.09343825,1.159481695,0.027909556,0,1.472222222,0.010939511,60,2059,33
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,26.5,-80.5,0.050284296,2.227195094,0.039336722,0,1.305555556,0.006048906,55,2044,65
1,12.5,-68.5,0.48920146,1.415408968,0.103588246,13,2.194444444,0.041827542,62,2059,18
1,12.5,-68.5,0.48920146,1.415408968,0.103588246,13,2.194444444,0.041827542,62,2059,18
1,26.5,50.5,0.068251014,0.998609048,0.076704772,10,1.972222222,0.008622909,107,2025,172
1,-8,115,0.029916655,1.27007038,0.078240914,3,2,0.017503218,563,2063,46
1,18.5,-77.5,0.064379655,2.168424299,0.052746472,0,1.388888889,0.01029601,60,2059,30
1,17.5,-62,0.3416131,1.414985301,0.08074611,7,1.944444444,0.048648649,56,2068,26
1,17.5,-62,0.3416131,1.414985301,0.08074611,7,1.944444444,0.048648649,56,2068,26
1,8,81.5,0.053576306,0.992761472,0.090264722,1,1.25,0.004761905,295,2063,73
1,-8,116,0.080799915,0.970313916,0.105736265,6,2.194444444,0.025096525,567,2040,58
1,-8,116,0.080799915,0.970313916,0.105736265,6,2.194444444,0.025096525,567,2040,58
1,-8,116,0.080799915,0.970313916,0.105736265,6,2.194444444,0.025096525,567,2040,58
1,8,98.5,0.14762029,0.7779569,0.055032892,3,1.888888889,0.018018018,351,2063,49
1,-17,168,1.9084308,0.732867797,0.095430704,4,1.944444444,0.011325611,380,2055,59
1,27,127.5,0.11053122,1.13757054,-0.018890371,6,2.055555556,0.015701416,367,2033,76
1,1,123.5,0.27732182,1.045205304,0.085945245,1,1.694444444,-0.002702703,569,2082,21
1,18.5,-70,0.08435415,1.481047609,0.098727973,3,1.666666667,0.024195624,58,2059,58
1,18.5,-70,0.08435415,1.481047609,0.098727973,3,1.666666667,0.024195624,58,2059,58
1,18.5,-70,0.08435415,1.481047609,0.098727973,3,1.666666667,0.024195624,58,2059,58
1,18.5,-70,0.08435415,1.481047609,0.098727973,3,1.666666667,0.024195624,58,2059,58
1,-17.5,178,0.22366439,0,0,3,1.666666667,0.020592021,415,2043,49
1,12.5,-62,0.5969511,1.649160848,0.129110745,8,1.944444444,0.035006435,57,2067,11
1,-8.5,119,0.14618756,0.684891115,0.067743724,4,1.833333333,0.013127413,569,2052,68
1,-4,55.5,4.610229,0.478770593,0.073515074,3,1.583333333,0.021492921,302,2033,141
1,-17.5,178,0.22366439,0,0,3,1.666666667,0.020592021,415,2043,49
1,20,-71,0.042222343,1.556939673,0.034881263,2,1.5,0.027284427,57,2059,63
1,5.5,72.5,0.52444535,0.588818743,0.090843593,2,1.472222222,0.003474903,244,2069,52
1,5.5,73,0.445081,0.691155857,0.095334929,2,1.444444444,2.52E-17,244,2069,58
1,6,116,0.16693477,4.398080016,0.127984018,0,1.388888889,0.00978121,559,2051,50
1,6,116,0.16693477,4.398080016,0.127984018,0,1.388888889,0.00978121,559,2051,50
1,6,116,0.16693477,4.398080016,0.127984018,0,1.388888889,0.00978121,559,2051,50
1,12.5,109,0.066586174,1.898360316,0.151179249,3,1.777777778,0.016731017,398,2051,45
1,10.5,99.5,0.339265,0.65235301,0.078598695,2,1.638888889,0.026126126,140,2063,40
1,10,100,0.3356624,0.855257172,0.088054159,1,1.583333333,0.019433719,140,2063,63
1,12,102.5,0.24276307,1.037070703,0.064170699,5,1.75,0.03024453,139,2063,56
1,8,98,0.07207023,1.117300883,0.100043749,3,1.694444444,0.018661519,339,2047,54
1,10,100,0.3356624,0.855257172,0.088054159,1,1.583333333,0.019433719,140,2063,63
1,10.5,99.5,0.339265,0.65235301,0.078598695,2,1.638888889,0.026126126,140,2063,40
1,10.5,99.5,0.339265,0.65235301,0.078598695,2,1.638888889,0.026126126,140,2063,40
1,-8,117.5,0.15146004,1.039124477,0.09387358,5,2.027777778,0.023809524,568,2052,61
1,8,98.5,0.14762029,0.7779569,0.055032892,3,1.888888889,0.018018018,351,2063,49
1,5.5,103,0.054245394,1.771137126,0.077691797,1,1.611111111,0.004633205,364,2082,26
1,14,123.5,0.12583917,1.365516003,0.083698127,7,1.805555556,0.032561133,568,2053,64
1,14.5,120.5,0.026778437,1.837771308,0.083778103,11,1.972222222,0.071943372,570,2053,54
